@RELATION browserninja.website
@ATTRIBUTE URL STRING
@ATTRIBUTE id NUMERIC
@ATTRIBUTE tagName STRING
@ATTRIBUTE childsNumber NUMERIC
@ATTRIBUTE textLength NUMERIC
@ATTRIBUTE basePlatform STRING
@ATTRIBUTE targetPlatform STRING
@ATTRIBUTE baseBrowser STRING
@ATTRIBUTE targetBrowser STRING
@ATTRIBUTE baseDPI NUMERIC
@ATTRIBUTE targetDPI NUMERIC
@ATTRIBUTE baseScreenshot STRING
@ATTRIBUTE targetScreenshot STRING
@ATTRIBUTE baseX NUMERIC
@ATTRIBUTE targetX NUMERIC
@ATTRIBUTE baseY NUMERIC
@ATTRIBUTE targetY NUMERIC
@ATTRIBUTE baseHeight NUMERIC
@ATTRIBUTE targetHeight NUMERIC
@ATTRIBUTE baseWidth NUMERIC
@ATTRIBUTE targetWidth NUMERIC
@ATTRIBUTE baseParentX NUMERIC
@ATTRIBUTE targetParentX NUMERIC
@ATTRIBUTE baseParentY NUMERIC
@ATTRIBUTE targetParentY NUMERIC
@ATTRIBUTE imageDiff NUMERIC
@ATTRIBUTE chiSquared NUMERIC
@ATTRIBUTE baseDeviceWidth NUMERIC
@ATTRIBUTE targetDeviceWidth NUMERIC
@ATTRIBUTE baseViewportWidth NUMERIC
@ATTRIBUTE targetViewportWidth NUMERIC
@ATTRIBUTE xpath STRING
@ATTRIBUTE baseXpath STRING
@ATTRIBUTE targetXpath STRING
@ATTRIBUTE phash NUMERIC
@ATTRIBUTE basePreviousSiblingLeft NUMERIC
@ATTRIBUTE targetPreviousSiblingLeft NUMERIC
@ATTRIBUTE basePreviousSiblingTop NUMERIC
@ATTRIBUTE targetPreviousSiblingTop NUMERIC
@ATTRIBUTE baseNextSiblingLeft NUMERIC
@ATTRIBUTE targetNextSiblingLeft NUMERIC
@ATTRIBUTE baseNextSiblingTop NUMERIC
@ATTRIBUTE targetNextSiblingTop NUMERIC
@ATTRIBUTE baseTextNodes NUMERIC
@ATTRIBUTE targetTextNodes NUMERIC
@ATTRIBUTE baseFontFamily STRING
@ATTRIBUTE targetFontFamily STRING
@DATA
http://wwatana.be/mobile/topsites/m.ebay.com/,649,IMG,0,0,"iOS 12.1 - Safari -- iOS - iPhone 8","iOS 12.1 - Safari -- iOS - iPhone 8 Plus",null,null,2.0,3.0,results/iphone8/649.png,results/iphone8plus/649.png,1,1,3711,3850,1,1,1,1,0,0,0,0,12.0,1.0,750,1242,375,414,/body[2]/img[27],/body[2]/img[27],/body[2]/img[27],0.0,0,0,0,0,0,0,0,0,0,0,"Market Sans","Market Sans"
http://wwatana.be/mobile/topsites/m.ebay.com/,643,IMG,0,0,"iOS 12.1 - Safari -- iOS - iPhone 8","iOS 12.1 - Safari -- iOS - iPhone 8 Plus",null,null,2.0,3.0,results/iphone8/643.png,results/iphone8plus/643.png,1,1,3711,3850,1,1,1,1,0,0,0,0,12.0,1.0,750,1242,375,414,/body[2]/img[21],/body[2]/img[21],/body[2]/img[21],0.0,0,0,0,0,0,0,0,0,0,0,"Market Sans","Market Sans"
http://wwatana.be/mobile/topsites/m.ebay.com/,640,IMG,0,0,"iOS 12.1 - Safari -- iOS - iPhone 8","iOS 12.1 - Safari -- iOS - iPhone 8 Plus",null,null,2.0,3.0,results/iphone8/640.png,results/iphone8plus/640.png,0,0,3711,3850,1,1,1,1,0,0,0,0,0.0,0.0,750,1242,375,414,/body[2]/img[18],/body[2]/img[18],/body[2]/img[18],0.0,0,0,0,0,0,0,0,0,0,0,"Market Sans","Market Sans"
http://wwatana.be/mobile/topsites/m.ebay.com/,634,DIV,0,23,"iOS 12.1 - Safari -- iOS - iPhone 8","iOS 12.1 - Safari -- iOS - iPhone 8 Plus",null,null,2.0,3.0,results/iphone8/634.png,results/iphone8plus/634.png,0,0,3682,3821,29,29,375,414,0,0,3349,3488,186132.0,2580.4,750,1242,375,414,/body[2]/div[14]/footer[1]/div[4],/body[2]/div[14]/footer[1]/div[4],/body[2]/div[14]/footer[1]/div[4],0.7,0,0,3610,3749,0,0,0,0,1,1,"Market Sans","Market Sans"
http://wwatana.be/mobile/topsites/m.ebay.com/,633,A,0,11,"iOS 12.1 - Safari -- iOS - iPhone 8","iOS 12.1 - Safari -- iOS - iPhone 8 Plus",null,null,2.0,3.0,results/iphone8/633.png,results/iphone8plus/633.png,175,194,3646,3785,26,26,87,87,10,10,3646,3785,101661.0,990.8,750,1242,375,414,/body[2]/div[14]/footer[1]/section[3]/div[5]/a[2],/body[2]/div[14]/footer[1]/section[3]/div[5]/a[2],/body[2]/div[14]/footer[1]/section[3]/div[5]/a[2],0.5,111,131,3646,3785,0,0,3682,3821,1,1,"Market Sans","Market Sans"
http://wwatana.be/mobile/topsites/m.ebay.com/,632,A,0,7,"iOS 12.1 - Safari -- iOS - iPhone 8","iOS 12.1 - Safari -- iOS - iPhone 8 Plus",null,null,2.0,3.0,results/iphone8/632.png,results/iphone8plus/632.png,111,131,3646,3785,26,26,63,63,10,10,3646,3785,74610.0,623.1,750,1242,375,414,/body[2]/div[14]/footer[1]/section[3]/div[5]/a[1],/body[2]/div[14]/footer[1]/section[3]/div[5]/a[1],/body[2]/div[14]/footer[1]/section[3]/div[5]/a[1],1.0,255,274,3620,3759,175,194,3646,3785,1,1,"Market Sans","Market Sans"
http://wwatana.be/mobile/topsites/m.ebay.com/,631,DIV,2,148,"iOS 12.1 - Safari -- iOS - iPhone 8","iOS 12.1 - Safari -- iOS - iPhone 8 Plus",null,null,2.0,3.0,null,null,10,10,3646,3785,26,26,355,394,0,0,3610,3749,0.0,0.0,750,1242,375,414,/body[2]/div[14]/footer[1]/section[3]/div[5],/body[2]/div[14]/footer[1]/section[3]/div[5],/body[2]/div[14]/footer[1]/section[3]/div[5],0.0,255,274,3620,3759,0,0,3682,3821,0,0,"Market Sans","Market Sans"
http://wwatana.be/mobile/topsites/m.ebay.com/,630,A,0,12,"iOS 12.1 - Safari -- iOS - iPhone 8","iOS 12.1 - Safari -- iOS - iPhone 8 Plus",null,null,2.0,3.0,results/iphone8/630.png,results/iphone8plus/630.png,255,274,3620,3759,26,26,83,83,0,0,3610,3749,104415.0,1633.1,750,1242,375,414,/body[2]/div[14]/footer[1]/section[3]/a[4],/body[2]/div[14]/footer[1]/section[3]/a[4],/body[2]/div[14]/footer[1]/section[3]/a[4],1.0,199,219,3620,3759,10,10,3646,3785,1,1,"Market Sans","Market Sans"
http://wwatana.be/mobile/topsites/m.ebay.com/,629,A,0,7,"iOS 12.1 - Safari -- iOS - iPhone 8","iOS 12.1 - Safari -- iOS - iPhone 8 Plus",null,null,2.0,3.0,results/iphone8/629.png,results/iphone8plus/629.png,199,219,3620,3759,26,26,55,55,0,0,3610,3749,63075.0,1372.0,750,1242,375,414,/body[2]/div[14]/footer[1]/section[3]/a[3],/body[2]/div[14]/footer[1]/section[3]/a[3],/body[2]/div[14]/footer[1]/section[3]/a[3],0.7,85,105,3620,3759,255,274,3620,3759,1,1,"Market Sans","Market Sans"
http://wwatana.be/mobile/topsites/m.ebay.com/,628,A,0,14,"iOS 12.1 - Safari -- iOS - iPhone 8","iOS 12.1 - Safari -- iOS - iPhone 8 Plus",null,null,2.0,3.0,results/iphone8/628.png,results/iphone8plus/628.png,85,105,3620,3759,26,26,113,113,0,0,3610,3749,146580.0,4681.6,750,1242,375,414,/body[2]/div[14]/footer[1]/section[3]/a[2],/body[2]/div[14]/footer[1]/section[3]/a[2],/body[2]/div[14]/footer[1]/section[3]/a[2],1.0,36,56,3620,3759,199,219,3620,3759,1,1,"Market Sans","Market Sans"
